ICD10,ICD9,Flag
A9231,06641,00000
A9232,06642,00000
A9239,06649,00000
A924,0663,10000
A925,0663,10000
A928,0663,10000
A929,0669,10000
A930,0663,10000
A931,0660,00000
A932,0661,10000
A938,0668,00000
A94,0669,10000
A950,0600,00000
A951,0601,00000
A959,0609,00000
A960,0787,10000
A961,0787,10000
A962,07889,10000
A968,0787,10000
A969,0787,10000
A980,0650,00000
A981,0651,00000
A982,0652,00000
A983,07889,10000
A984,07889,10000
A985,0786,00000
A988,0653,10000
A99,0659,10000
B000,0540,00000
B001,05473,10000
B002,0542,00000
B003,05472,00000
B004,0543,10000
B0050,05440,00000
B0051,05444,00000
B0052,05442,10000
B0052,05443,10000
B0053,05449,10000
B0059,05441,10000
B0059,05449,10000
B007,0545,00000
B0081,05471,10000
B0082,05474,00000
B0089,0546,10000
B0089,05479,10000
B009,0548,10000
B009,0549,10000
B010,0527,10000
B0111,0520,10000
B0112,0522,00000
B012,0521,00000
B0181,0527,10000
B0189,0527,10000
B0189,0528,10000
B019,0529,00000
B020,05319,10000
B021,0530,00000
B0221,05311,00000
B0222,05312,00000
B0223,05313,00000
B0224,05314,00000
B0229,05310,10000
B0229,05319,10000
B0230,05329,10000
B0231,05329,10000
B0232,05322,00000
B0233,05321,00000
B0234,05329,10000
B0239,05320,10000
B0239,05329,10000
B027,0538,10000
B028,05371,10000
B028,05379,10000
B028,0538,10000
B029,0539,00000
B03,0500,10000
B03,0501,10000
B03,0509,10000
B04,05901,00000
B050,0550,00000
B051,05579,10000
B052,0551,00000
B053,0552,00000
B054,05579,10000
B0581,05571,00000
B0589,05579,10000
B059,0559,00000
B0600,05600,00000
B0601,05601,00000
B0602,05609,10000
B0609,05609,10000
B0681,05679,10000
B0682,05671,00000
B0689,05679,10000
B069,0569,00000
B070,07812,00000
B078,07819,00000
B079,07810,00000
B08010,05101,00000
B08011,05102,00000
B0802,0512,10000
B0803,0511,00000
B0804,0519,10000
B0809,05900,10000
B0809,05909,10000
B081,0780,00000
B0820,05810,00000
B0821,05811,00000
B0822,05812,00000
B083,0570,00000
B084,0743,00000
B085,0740,00000
B0860,05910,00000
B0861,05911,00000
B0862,05912,00000
B0869,05919,00000
B0870,05920,10000
B0871,05921,00000
B0872,05922,00000
B0879,05920,10000
B088,0598,10000
B088,0784,10000
B09,0578,10000
B09,0579,10000
B1001,05821,00000
B1009,05829,00000
B1081,05881,10000
B1082,05882,10000
B1089,05889,10000
B150,0700,00000
B159,0701,00000
B160,07021,10000
B161,07031,10000
B162,07020,10000
B169,07030,10000
B170,07052,10000
B1710,07051,00000
B1711,07041,00000
B172,07053,10000
B178,07049,10000
